Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
200601BS70001,524020,182030,-0.213736,51.523524,1,3,2,1,17/01/02,4,15:40,12,E09000020,4,450,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002905
200601BS70002,526090,177600,-0.185496,51.483253,1,2,1,2,17/01/02,4,09:00,12,E09000020,3,304,6,30,6,2,3,3220,0,5,1,1,2,0,0,1,1,E01002912
200601BS70003,524000,180140,-0.214688,51.506542,1,3,2,1,13/01/02,7,01:12,12,E09000020,5,0,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002873
200601BS70005,525780,179700,-0.18921,51.502195,1,3,1,1,15/01/02,2,19:05,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01002889
200601BS70006,525450,178090,-0.194534,51.487799,1,3,2,1,23/01/02,3,08:20,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002894
200601BS70007,527700,179460,-0.16165,51.499608,1,3,1,1,20/01/02,7,16:47,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002818
200601BS70009,526090,178990,-0.185,51.495745,1,3,1,1,22/01/02,2,13:04,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002888
200601BS70010,526220,178950,-0.183143,51.495356,1,2,2,1,25/01/02,5,21:06,12,E09000020,4,325,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01002887
200601BS70013,524390,181910,-0.208447,51.522364,1,3,2,1,26/01/02,6,11:30,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002853
200601BS70015,523800,182050,-0.216898,51.523752,1,2,1,1,25/01/02,5,17:29,12,E09000020,5,0,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01002905
200601BS70017,526680,177650,-0.176986,51.48357,1,3,2,1,26/01/02,6,09:20,12,E09000020,3,3217,3,40,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002845
200601BS70018,523520,181060,-0.221279,51.514915,1,3,2,1,11/01/02,5,11:50,11,E09000013,3,3220,1,30,1,4,3,40,0,0,1,1,1,0,0,1,1,E01002877
200601BS70019,526580,177270,-0.178561,51.480177,1,3,2,1,24/01/02,4,10:10,12,E09000020,5,0,6,30,3,4,3,3220,0,0,1,1,1,0,0,1,1,E01002841
200601BS70020,524860,180330,-0.202236,51.50806,1,2,2,1,24/01/02,4,18:15,12,E09000020,3,402,3,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002883
200601BS70021,527160,178040,-0.169936,51.486968,1,3,2,2,26/01/02,6,08:21,12,E09000020,3,3217,6,30,3,4,4,304,0,0,1,1,1,0,0,1,1,E01002914
200601BS70022,525080,178860,-0.199588,51.494801,1,3,2,1,29/01/02,2,16:00,12,E09000020,3,3220,6,30,6,2,4,314,0,5,1,1,1,0,0,1,2,E01002815
200601BS70023,526240,179620,-0.182615,51.501373,1,3,2,1,19/01/02,6,12:40,1,E09000033,3,315,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002891
200601BS70024,525210,180430,-0.197159,51.508882,1,3,1,1,27/01/02,7,23:25,12,E09000020,3,402,3,30,3,2,3,4206,0,5,4,1,1,0,0,1,1,E01002884
200601BS70025,523560,181400,-0.220583,51.517962,1,3,2,1,02/02/02,6,09:10,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01002876
